parameter,value,max_mean_meta_score
input_trafo,none,0.93
input_trafo,unitcube,0.91
output_trafo,none,0.93
output_trafo,standardize,0.88
output_trafo,log,0.89
init,random,0.92
init,lhs,0.93
init,sobol,0.91
init_size_fraction,0.25,0.93
init_size_fraction,0.05,0.88
init_size_fraction,0.1,0.87
random_interleave_iter,0,0.92
random_interleave_iter,2,0.89
random_interleave_iter,4,0.93
trees,500,0.93
trees,10,0.82
variance_estimator,ensemble_standard_deviation,0.89
variance_estimator,jack,0.93
variance_estimator,law_of_total_variance,0.69
acqf,EI,0.84
acqf,PI,0.84
acqf,Mean,0.6
acqf,CB,0.93
lambda,1,0.93
lambda,3,0.59
lambda,10,0.25
acqopt,RS_1000,0.5
acqopt,RS,0.54
acqopt,LS,0.93
epsilon_decay,FALSE,0.84
epsilon_decay,TRUE,0.45
lambda_decay,TRUE,0.9
lambda_decay,FALSE,0.93
