instance,scenario
40923,rbv2_xgboost
41165,rbv2_xgboost
41169,rbv2_xgboost
1457,rbv2_xgboost
41166,rbv2_xgboost
6,rbv2_xgboost
40927,rbv2_xgboost
40685,rbv2_xgboost
40996,rbv2_xgboost
554,rbv2_xgboost
41138,rbv2_super
40981,rbv2_super
4134,rbv2_super
1220,rbv2_super
4154,rbv2_super
41163,rbv2_super
4538,rbv2_super
40978,rbv2_super
375,rbv2_super
1111,rbv2_super
40496,rbv2_super
40966,rbv2_super
4534,rbv2_super
40900,rbv2_super
40536,rbv2_super
41156,rbv2_super
1590,rbv2_super
1457,rbv2_super
458,rbv2_super
469,rbv2_super
41157,rbv2_super
11,rbv2_super
1461,rbv2_super
1462,rbv2_super
1464,rbv2_super
15,rbv2_super
40975,rbv2_super
41142,rbv2_super
40701,rbv2_super
40994,rbv2_super
23,rbv2_super
1468,rbv2_super
40668,rbv2_super
29,rbv2_super
31,rbv2_super
6332,rbv2_super
37,rbv2_super
40670,rbv2_super
23381,rbv2_super
151,rbv2_super
188,rbv2_super
41164,rbv2_super
1475,rbv2_super
1476,rbv2_super
1478,rbv2_super
41169,rbv2_super
1479,rbv2_super
41212,rbv2_super
1480,rbv2_super
300,rbv2_super
41143,rbv2_super
1053,rbv2_super
41027,rbv2_super
1067,rbv2_super
1063,rbv2_super
41162,rbv2_super
3,rbv2_super
6,rbv2_super
1485,rbv2_super
1056,rbv2_super
12,rbv2_super
14,rbv2_super
16,rbv2_super
18,rbv2_super
40979,rbv2_super
22,rbv2_super
1515,rbv2_super
334,rbv2_super
24,rbv2_super
1486,rbv2_super
1493,rbv2_super
28,rbv2_super
1487,rbv2_super
1068,rbv2_super
1050,rbv2_super
1049,rbv2_super
32,rbv2_super
1489,rbv2_super
470,rbv2_super
1494,rbv2_super
182,rbv2_super
312,rbv2_super
40984,rbv2_super
1501,rbv2_super
40685,rbv2_super
38,rbv2_super
42,rbv2_super
44,rbv2_super
46,rbv2_super
40982,rbv2_super
1040,rbv2_super
41146,rbv2_super
377,rbv2_super
40499,rbv2_super
50,rbv2_super
54,rbv2_super
307,rbv2_super
1497,rbv2_super
60,rbv2_super
1510,rbv2_super
40983,rbv2_super
40498,rbv2_super
181,rbv2_super
